Year	Catch
1963	128092
1964	130049
1965	209092
1966	258059
1967	274972
1968	304417
1969	204503
1970	242656
1971	410498
1972	385764
1973	267840
1974	252748
1975	241089
1976	305404
1977	347345
1978	327074
1979	428297
1980	587962
1981	390691
1982	356372
1983	279065
1984	378074
1985	245651
1986	339883
1987	243747
1988	193706
1989	201233
1990	151582
1991	119641
1992	148932
1993	141358
1994	208123
1995	168104
1996	138751
1997	155618
1998	184740
1999	107749
2000	82927
2001	61960
2002	65053
2003	34433
2004	36469
2005	38097
2006	37589
2007	54637
2008	51798
2009	54023
2010	49103
2011	40689
2012	40762
2013	40763
2014	45190
2015	49910
2016	50307
2017	46371
2018	47898
