Year	1	2	3	4	5	6
1963	0.088	0.444	0.508	0.461	0.458	0.415
1964	0.099	0.483	0.561	0.507	0.502	0.472
1965	0.115	0.536	0.622	0.549	0.534	0.507
1966	0.12	0.548	0.631	0.548	0.535	0.514
1967	0.132	0.588	0.676	0.587	0.581	0.581
1968	0.145	0.626	0.713	0.619	0.609	0.612
1969	0.135	0.591	0.666	0.58	0.577	0.567
1970	0.154	0.642	0.704	0.598	0.584	0.561
1971	0.196	0.754	0.804	0.673	0.65	0.644
1972	0.232	0.839	0.873	0.728	0.703	0.725
1973	0.233	0.827	0.838	0.694	0.666	0.66
1974	0.228	0.8	0.793	0.656	0.637	0.624
1975	0.26	0.871	0.855	0.703	0.681	0.68
1976	0.296	0.948	0.917	0.738	0.712	0.718
1977	0.279	0.902	0.871	0.695	0.686	0.693
1978	0.318	0.991	0.983	0.787	0.776	0.819
1979	0.282	0.896	0.903	0.715	0.693	0.69
1980	0.316	0.972	0.999	0.793	0.751	0.776
1981	0.313	0.971	1.015	0.808	0.752	0.785
1982	0.354	1.07	1.146	0.922	0.848	0.94
1983	0.339	1.045	1.125	0.915	0.832	0.917
1984	0.308	0.976	1.051	0.869	0.79	0.858
1985	0.285	0.928	1.001	0.843	0.762	0.818
1986	0.305	0.984	1.08	0.931	0.838	0.944
1987	0.285	0.948	1.051	0.921	0.825	0.928
1988	0.287	0.959	1.078	0.949	0.843	0.955
1989	0.291	0.972	1.1	0.983	0.874	1.01
1990	0.262	0.906	1.025	0.92	0.816	0.914
1991	0.247	0.874	1.007	0.925	0.832	0.944
1992	0.23	0.837	0.98	0.914	0.821	0.915
1993	0.244	0.881	1.058	0.981	0.877	1.001
1994	0.226	0.84	1.038	0.949	0.845	0.94
1995	0.197	0.772	0.974	0.88	0.782	0.832
1996	0.193	0.769	1.012	0.927	0.85	0.946
1997	0.189	0.763	1.046	0.98	0.908	1.027
1998	0.233	0.892	1.268	1.209	1.118	1.362
1999	0.228	0.883	1.295	1.253	1.171	1.442
2000	0.227	0.884	1.313	1.285	1.204	1.477
2001	0.156	0.672	0.991	0.974	0.915	0.979
2002	0.198	0.796	1.192	1.167	1.082	1.222
2003	0.129	0.579	0.864	0.835	0.769	0.731
2004	0.14	0.614	0.921	0.873	0.806	0.765
2005	0.145	0.628	0.942	0.878	0.827	0.783
2006	0.129	0.57	0.845	0.776	0.75	0.679
2007	0.112	0.51	0.769	0.706	0.688	0.585
2008	0.104	0.482	0.742	0.681	0.682	0.582
2009	0.097	0.457	0.718	0.664	0.671	0.555
2010	0.076	0.379	0.603	0.562	0.572	0.435
2011	0.054	0.293	0.468	0.446	0.466	0.327
2012	0.048	0.269	0.432	0.415	0.436	0.292
2013	0.047	0.263	0.43	0.412	0.431	0.282
2014	0.048	0.266	0.441	0.42	0.441	0.286
2015	0.049	0.268	0.451	0.434	0.468	0.314
2016	0.048	0.267	0.453	0.431	0.464	0.3
2017	0.057	0.299	0.516	0.488	0.523	0.351
2018	0.079	0.38	0.67	0.624	0.677	0.508
