Year	1	2	3	4	5	6
1963	1.176	0.711	0.216	0.2	0.2	0.2
1964	1.176	0.711	0.216	0.2	0.2	0.2
1965	1.176	0.711	0.216	0.2	0.2	0.2
1966	1.176	0.711	0.216	0.2	0.2	0.2
1967	1.176	0.711	0.216	0.2	0.2	0.2
1968	1.176	0.711	0.216	0.2	0.2	0.2
1969	1.176	0.711	0.216	0.2	0.2	0.2
1970	1.176	0.711	0.216	0.2	0.2	0.2
1971	1.176	0.711	0.216	0.2	0.2	0.2
1972	1.176	0.711	0.216	0.2	0.2	0.2
1973	1.176	0.711	0.216	0.2	0.2	0.2
1974	1.176	0.711	0.216	0.2	0.2	0.2
1975	1.185	0.706	0.218	0.2	0.2	0.2
1976	1.195	0.701	0.221	0.2	0.2	0.2
1977	1.204	0.697	0.223	0.2	0.2	0.2
1978	1.213	0.694	0.226	0.2	0.2	0.2
1979	1.22	0.693	0.228	0.2	0.2	0.2
1980	1.226	0.694	0.231	0.2	0.2	0.2
1981	1.228	0.696	0.233	0.2	0.2	0.2
1982	1.228	0.7	0.235	0.2	0.2	0.2
1983	1.223	0.705	0.237	0.2	0.2	0.2
1984	1.216	0.709	0.24	0.2	0.2	0.2
1985	1.207	0.715	0.242	0.2	0.2	0.2
1986	1.197	0.721	0.244	0.2	0.2	0.2
1987	1.186	0.728	0.246	0.2	0.2	0.2
1988	1.176	0.736	0.249	0.2	0.2	0.2
1989	1.167	0.745	0.251	0.2	0.2	0.2
1990	1.158	0.754	0.253	0.2	0.2	0.2
1991	1.151	0.763	0.256	0.2	0.2	0.2
1992	1.144	0.771	0.259	0.2	0.2	0.2
1993	1.139	0.779	0.263	0.2	0.2	0.2
1994	1.135	0.787	0.268	0.2	0.2	0.2
1995	1.131	0.796	0.275	0.2	0.2	0.2
1996	1.128	0.806	0.283	0.2	0.2	0.2
1997	1.124	0.818	0.293	0.2	0.2	0.2
1998	1.122	0.833	0.305	0.2	0.2	0.2
1999	1.121	0.849	0.317	0.2	0.2	0.2
2000	1.121	0.866	0.33	0.2	0.2	0.2
2001	1.125	0.886	0.343	0.2	0.2	0.2
2002	1.133	0.906	0.355	0.2	0.2	0.2
2003	1.144	0.926	0.365	0.2	0.2	0.2
2004	1.157	0.945	0.371	0.2	0.2	0.2
2005	1.17	0.961	0.374	0.2	0.2	0.2
2006	1.183	0.973	0.373	0.2	0.2	0.2
2007	1.194	0.981	0.368	0.2	0.2	0.2
2008	1.202	0.984	0.362	0.2	0.2	0.2
2009	1.209	0.985	0.354	0.2	0.2	0.2
2010	1.213	0.982	0.346	0.2	0.2	0.2
2011	1.215	0.978	0.501	0.364	0.363	0.363
2012	1.215	0.972	0.495	0.364	0.363	0.363
2013	1.212	0.965	0.489	0.363	0.363	0.363
2014	1.208	0.958	0.485	0.362	0.363	0.363
2015	1.201	0.951	0.481	0.362	0.363	0.363
2016	1.192	0.943	0.476	0.362	0.363	0.363
2017	1.181	0.935	0.472	0.361	0.363	0.363
2018	1.168	0.928	0.468	0.361	0.363	0.363
