Year	1	2	3	4	5	6
1963	0.016	0.098	0.148	0.483	0.683	1
1964	0.016	0.098	0.148	0.483	0.683	1
1965	0.016	0.098	0.148	0.483	0.683	1
1966	0.016	0.098	0.148	0.483	0.683	1
1967	0.016	0.098	0.148	0.483	0.683	1
1968	0.016	0.098	0.148	0.483	0.683	1
1969	0.016	0.098	0.148	0.483	0.683	1
1970	0.016	0.098	0.148	0.483	0.683	1
1971	0.016	0.098	0.148	0.483	0.683	1
1972	0.016	0.098	0.148	0.483	0.683	1
1973	0.016	0.098	0.148	0.483	0.683	1
1974	0.016	0.098	0.148	0.483	0.683	1
1975	0.016	0.098	0.148	0.483	0.683	1
1976	0.016	0.098	0.148	0.483	0.683	1
1977	0.016	0.098	0.148	0.483	0.683	1
1978	0.016	0.098	0.148	0.483	0.683	1
1979	0	0.047	0.217	0.524	0.615	1
1980	0.003	0.068	0.119	0.255	0.619	1
1981	0.003	0.035	0.168	0.412	0.506	1
1982	0	0.036	0.12	0.434	0.553	1
1983	0	0.035	0.174	0.392	0.761	1
1984	0.006	0.031	0.254	0.436	0.673	1
1985	0	0.026	0.158	0.508	0.685	1
1986	0.001	0.1	0.151	0.313	0.581	1
1987	0	0.028	0.258	0.537	0.815	1
1988	0.003	0.047	0.176	0.445	0.528	1
1989	0.232	0.179	0.272	0.529	0.77	1
1990	0.004	0.088	0.255	0.432	0.707	1
1991	0	0.068	0.322	0.445	0.745	1
1992	0	0.19	0.46	0.827	0.678	1
1993	0	0.075	0.356	0.618	0.747	1
1994	0	0.146	0.47	0.783	0.897	1
1995	0.004	0.042	0.342	0.733	0.874	1
1996	0	0.159	0.462	0.825	0.88	1
1997	0	0.191	0.59	0.659	0.792	1
1998	0.023	0.12	0.53	0.816	0.948	1
1999	0.014	0.385	0.467	0.709	0.981	1
2000	0.009	0.25	0.67	0.825	0.879	1
2001	0.016	0.189	0.454	0.777	0.974	1
2002	0.012	0.345	0.553	0.865	1	1
2003	0	0.198	0.455	0.705	0.961	1
2004	0	0.224	0.788	0.761	0.869	1
2005	0.005	0.218	0.626	0.843	0.928	1
2006	0.012	0.224	0.495	0.792	0.844	1
2007	0.017	0.188	0.594	0.823	0.979	1
2008	0.034	0.385	0.725	0.825	0.946	1
2009	0.016	0.246	0.696	0.87	0.918	1
2010	0.008	0.182	0.71	0.826	0.963	1
2011	0.082	0.157	0.731	0.898	0.985	1
2012	0.004	0.25	0.523	0.803	0.949	1
2013	0.018	0.096	0.474	0.855	0.9	1
2014	0.017	0.15	0.511	0.882	0.951	1
2015	0.018	0.279	0.441	0.786	0.865	1
2016	0.033	0.144	0.29	0.688	0.817	1
2017	0.013	0.144	0.496	0.747	0.859	1
2018	0	0.145	0.441	0.761	0.978	1
