Year	Recruits	SSB
1963	446529	131187
1964	727964	140120
1965	985009	163823
1966	1193302	183167
1967	1012126	206032
1968	500385	210716
1969	435718	209070
1970	1479665	213550
1971	1956201	219837
1972	479664	201530
1973	698722	166750
1974	689808	177838
1975	1197898	168209
1976	820106	145059
1977	2002052	121682
1978	1177574	116822
1979	1478518	117511
1980	2370072	117719
1981	931094	127896
1982	1459702	129629
1983	831936	108283
1984	1526121	96066
1985	376392	91854
1986	1825626	80288
1987	701797	82608
1988	471493	77578
1989	846975	74208
1990	340447	65876
1991	398707	65972
1992	957698	67467
1993	436538	69739
1994	1078364	72155
1995	687763	77792
1996	469770	92444
1997	1542688	94210
1998	144395	98224
1999	312967	79094
2000	452949	55878
2001	183390	43323
2002	265362	46869
2003	120876	34964
2004	241790	33092
2005	192080	31978
2006	423208	34362
2007	190907	45667
2008	214364	65201
2009	240060	66101
2010	302150	69172
2011	143866	77527
2012	222046	81688
2013	251482	82352
2014	313474	80119
2015	147284	85085
2016	102928	85860
2017	313264	84416
2018	67402	73006
