Year	1	2	3	4	5	6
1963	0.06	0.533	2.278	3.996	6.117	9.59
1964	0.068	0.501	2.036	4.029	5.805	8.651
1965	0.06	0.593	1.975	4.014	6.549	10.379
1966	0.06	0.55	2.097	3.709	6.327	10.367
1967	0.062	0.572	2.061	2.805	6.125	10.159
1968	0.063	0.558	1.906	3.643	4.809	8.302
1969	0.08	0.497	1.83	3.427	5.146	7.184
1970	0.086	0.556	1.745	3.56	5.52	8.618
1971	0.06	0.549	1.883	3.788	5.877	9.12
1972	0.057	0.48	1.79	3.53	5.412	8.682
1973	0.064	0.461	1.646	3.36	4.941	8.476
1974	0.058	0.593	1.898	3.698	5.559	9.658
1975	0.058	0.5	2.02	3.76	5.766	8.975
1976	0.038	0.475	2.107	4.072	5.847	8.626
1977	0.056	0.443	1.831	4.098	6.045	9.694
1978	0.083	0.489	1.722	3.689	5.879	9.224
1979	0.056	0.596	2.075	3.935	5.923	9.562
1980	0.049	0.604	1.676	3.916	5.5	9.23
1981	0.063	0.506	1.881	4.106	6.343	9.389
1982	0.068	0.598	1.597	3.675	6.109	8.979
1983	0.077	0.581	1.578	3.452	5.844	8.837
1984	0.058	0.606	1.855	3.534	5.573	9.043
1985	0.06	0.527	1.835	3.705	5.694	8.906
1986	0.056	0.515	1.568	3.118	5.609	9.278
1987	0.084	0.509	1.682	3.248	5.449	8.957
1988	0.089	0.496	1.699	2.836	5.395	8.824
1989	0.07	0.614	1.558	3.19	4.748	8.273
1990	0.073	0.454	1.863	3.373	5.34	9.287
1991	0.075	0.585	1.717	3.533	5.476	8.125
1992	0.076	0.639	2.191	3.757	5.624	8.942
1993	0.062	0.557	2.131	4.049	5.888	8.603
1994	0.058	0.519	1.883	3.978	6.453	8.487
1995	0.08	0.506	1.898	3.82	6.501	9.268
1996	0.083	0.547	1.803	3.589	5.976	8.83
1997	0.074	0.525	1.822	3.4	5.607	8.388
1998	0.071	0.417	1.396	3.11	4.85	8
1999	0.061	0.482	1.209	2.941	5.155	7.567
2000	0.068	0.595	1.503	2.861	4.414	7.832
2001	0.071	0.399	1.801	3.259	5.286	8.067
2002	0.057	0.289	1.467	3.448	4.922	7.749
2003	0.058	0.431	1.565	3.037	5.256	7.706
2004	0.056	0.242	1.427	2.762	4.705	7.474
2005	0.06	0.445	1.324	2.946	4.528	7.084
2006	0.058	0.498	1.484	3.379	5.046	7.833
2007	0.072	0.436	1.689	3.465	5.527	8.276
2008	0.083	0.681	1.889	3.546	5.404	7.404
2009	0.056	0.734	1.908	3.663	5.525	8.076
2010	0.073	0.569	2.188	3.852	5.539	8.897
2011	0.062	0.479	2.094	4.238	5.841	7.547
2012	0.062	0.621	1.91	3.673	5.923	8.107
2013	0.068	0.466	1.889	3.774	5.707	8.283
2014	0.064	0.54	1.873	3.516	5.211	7.42
2015	0.068	0.587	1.756	3.406	4.973	6.787
2016	0.071	0.553	1.712	3.253	5.143	7.215
2017	0.057	0.551	1.818	3.229	4.689	7.933
2018	0.059	0.46	1.682	3.276	5.173	6.909
